image_id,filename,source,source_url,download_date,image_type,width,height,format,file_size_kb,color_space,source_metadata,md5_hash,is_duplicate,duplicate_of,analysis_notes
LOCAL_10_PEXELS_10027738,PEXELS_10027738.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10027738.jpg,2026-05-26T22:11:53.575551,real,866,1300,JPEG,151.36,RGB,"{'original_filename': 'PEXELS_10027738.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10027738.jpg', 'file_size_bytes': 154988}",d75d055fda8d5eeebafe876bdd5c2634,False,,Existing image - metadata generated
LOCAL_11_PEXELS_10028848,PEXELS_10028848.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10028848.jpg,2026-05-26T23:51:46.513444,real,1880,1253,JPEG,260.51,RGB,"{'original_filename': 'PEXELS_10028848.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10028848.jpg', 'file_size_bytes': 266766}",b4bda4d58bf87172167141860ffd6ee3,False,,Existing image - metadata generated
LOCAL_12_PEXELS_10028850,PEXELS_10028850.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10028850.jpg,2026-05-26T23:45:56.989727,real,1880,1253,JPEG,285.88,RGB,"{'original_filename': 'PEXELS_10028850.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10028850.jpg', 'file_size_bytes': 292737}",02cf763f743034253a3b2136a416265e,False,,Existing image - metadata generated
LOCAL_13_PEXELS_1003124,PEXELS_1003124.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_1003124.jpg,2026-05-26T23:56:38.559810,real,1880,1057,JPEG,287.94,RGB,"{'original_filename': 'PEXELS_1003124.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_1003124.jpg', 'file_size_bytes': 294848}",7248f079f1d4b06dafc1eae9d6a9dbf4,False,,Existing image - metadata generated
LOCAL_14_PEXELS_10033568,PEXELS_10033568.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10033568.jpg,2026-05-26T21:20:42.100354,real,975,1300,JPEG,50.31,RGB,"{'original_filename': 'PEXELS_10033568.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10033568.jpg', 'file_size_bytes': 51518}",336a469cf3b81c5e80c6040d8f4a8868,False,,Existing image - metadata generated
LOCAL_15_PEXELS_10037213,PEXELS_10037213.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10037213.jpg,2026-05-26T21:15:48.884626,real,867,1300,JPEG,54.64,RGB,"{'original_filename': 'PEXELS_10037213.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10037213.jpg', 'file_size_bytes': 55953}",3ad1060f66422f9eec886e213276d116,False,,Existing image - metadata generated
LOCAL_16_PEXELS_10041272,PEXELS_10041272.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10041272.jpg,2026-05-26T21:00:55.903277,real,868,1300,JPEG,99.18,RGB,"{'original_filename': 'PEXELS_10041272.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10041272.jpg', 'file_size_bytes': 101556}",93b3cabb5fdc31c3526888382ad789b2,False,,Existing image - metadata generated
LOCAL_17_PEXELS_10049256,PEXELS_10049256.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10049256.jpg,2026-05-26T23:02:50.260020,real,1880,1254,JPEG,327.66,RGB,"{'original_filename': 'PEXELS_10049256.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10049256.jpg', 'file_size_bytes': 335521}",68f3db9292be8ea82e77da3a085a3b6f,False,,Existing image - metadata generated
LOCAL_18_PEXELS_1006166,PEXELS_1006166.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_1006166.jpg,2026-05-26T22:43:57.799659,real,1880,423,JPEG,154.41,RGB,"{'original_filename': 'PEXELS_1006166.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_1006166.jpg', 'file_size_bytes': 158115}",40bdd73e8f35f88d776747bba6caa809,False,,Existing image - metadata generated
LOCAL_19_PEXELS_10064767,PEXELS_10064767.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10064767.jpg,2026-05-27T00:09:53.050972,real,1625,1300,JPEG,392.8,RGB,"{'original_filename': 'PEXELS_10064767.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10064767.jpg', 'file_size_bytes': 402226}",f2d215ddfbdc0a71c18cbf2cf14f2336,False,,Existing image - metadata generated
LOCAL_20_PEXELS_10074096,PEXELS_10074096.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10074096.jpg,2026-05-26T22:02:43.214472,real,867,1300,JPEG,167.99,RGB,"{'original_filename': 'PEXELS_10074096.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10074096.jpg', 'file_size_bytes': 172019}",337396e392f079ef9b45ae4ee0f799e1,False,,Existing image - metadata generated
LOCAL_21_PEXELS_10085017,PEXELS_10085017.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10085017.jpg,2026-05-26T21:17:42.097366,real,1155,1300,JPEG,137.32,RGB,"{'original_filename': 'PEXELS_10085017.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10085017.jpg', 'file_size_bytes': 140616}",7f45841cbb61dd5bd388b1cb881fe6b1,False,,Existing image - metadata generated
LOCAL_22_PEXELS_10089623,PEXELS_10089623.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10089623.jpg,2026-05-26T21:41:22.219426,real,867,1300,JPEG,65.5,RGB,"{'original_filename': 'PEXELS_10089623.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10089623.jpg', 'file_size_bytes': 67077}",45f7f469b32946af904f2e0f133e78f7,False,,Existing image - metadata generated
LOCAL_23_PEXELS_10094885,PEXELS_10094885.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10094885.jpg,2026-05-26T22:46:00.230564,real,1880,1253,JPEG,113.6,RGB,"{'original_filename': 'PEXELS_10094885.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10094885.jpg', 'file_size_bytes': 116328}",0302695ce7617e449e9c129afe67a4fe,False,,Existing image - metadata generated
LOCAL_24_PEXELS_10096083,PEXELS_10096083.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10096083.jpg,2026-05-26T22:46:33.851941,real,867,1300,JPEG,59.48,RGB,"{'original_filename': 'PEXELS_10096083.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10096083.jpg', 'file_size_bytes': 60912}",a2b30652d7583bbbab3d417714b309c8,False,,Existing image - metadata generated
LOCAL_25_PEXELS_10103461,PEXELS_10103461.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10103461.jpg,2026-05-26T21:41:41.928321,real,867,1300,JPEG,206.3,RGB,"{'original_filename': 'PEXELS_10103461.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10103461.jpg', 'file_size_bytes': 211248}",8b17e2e2cd0566caa5731d9de13b3bbd,False,,Existing image - metadata generated
LOCAL_26_PEXELS_10111294,PEXELS_10111294.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10111294.jpg,2026-05-26T23:25:55.722763,real,1880,1254,JPEG,124.41,RGB,"{'original_filename': 'PEXELS_10111294.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10111294.jpg', 'file_size_bytes': 127392}",c37a632f54046113320fb05a2e13a7c6,False,,Existing image - metadata generated
LOCAL_27_PEXELS_10113546,PEXELS_10113546.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10113546.jpg,2026-05-26T21:09:20.286777,real,867,1300,JPEG,131.14,RGB,"{'original_filename': 'PEXELS_10113546.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10113546.jpg', 'file_size_bytes': 134289}",30518584998aa63e2186946090580264,False,,Existing image - metadata generated
LOCAL_28_PEXELS_10118776,PEXELS_10118776.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10118776.jpg,2026-05-26T23:41:13.301118,real,867,1300,JPEG,131.91,RGB,"{'original_filename': 'PEXELS_10118776.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10118776.jpg', 'file_size_bytes': 135075}",274fb1f4ef7ae9521f0bb4fed10e6858,False,,Existing image - metadata generated
LOCAL_29_PEXELS_10122950,PEXELS_10122950.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10122950.jpg,2026-05-26T22:58:10.136738,real,975,1300,JPEG,93.06,RGB,"{'original_filename': 'PEXELS_10122950.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10122950.jpg', 'file_size_bytes': 95294}",bc21cf500224b1e249a88f2ef433ccb7,False,,Existing image - metadata generated
LOCAL_30_PEXELS_10131213,PEXELS_10131213.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10131213.jpg,2026-05-26T22:55:49.876348,real,1880,1255,JPEG,181.55,RGB,"{'original_filename': 'PEXELS_10131213.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10131213.jpg', 'file_size_bytes': 185909}",d0470853cfb74b2ef5f5bb1d581bf838,False,,Existing image - metadata generated
LOCAL_31_PEXELS_10132787,PEXELS_10132787.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10132787.jpg,2026-05-26T21:04:54.971285,real,867,1300,JPEG,213.58,RGB,"{'original_filename': 'PEXELS_10132787.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10132787.jpg', 'file_size_bytes': 218708}",9fd09c6c53824afd8f1bb521a8ffb73d,False,,Existing image - metadata generated
LOCAL_32_PEXELS_1013516,PEXELS_1013516.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_1013516.jpg,2026-05-26T22:50:22.107116,real,1880,1253,JPEG,244.99,RGB,"{'original_filename': 'PEXELS_1013516.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_1013516.jpg', 'file_size_bytes': 250872}",69087fac6bd89bbacdc0f7c7d62e4b4c,False,,Existing image - metadata generated
LOCAL_33_PEXELS_10135573,PEXELS_10135573.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10135573.jpg,2026-05-26T21:05:32.821726,real,867,1300,JPEG,126.15,RGB,"{'original_filename': 'PEXELS_10135573.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10135573.jpg', 'file_size_bytes': 129177}",349065a42849ff50505c0d79c8097d33,False,,Existing image - metadata generated
LOCAL_34_PEXELS_10138975,PEXELS_10138975.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10138975.jpg,2026-05-26T21:48:20.724598,real,1880,1253,JPEG,82.6,RGB,"{'original_filename': 'PEXELS_10138975.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10138975.jpg', 'file_size_bytes': 84578}",71ab49add5b722fd161603a562cd59c8,False,,Existing image - metadata generated
LOCAL_35_PEXELS_10140367,PEXELS_10140367.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10140367.jpg,2026-05-26T22:58:36.776925,real,975,1300,JPEG,64.49,RGB,"{'original_filename': 'PEXELS_10140367.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10140367.jpg', 'file_size_bytes': 66039}",3d060cfe4a286bce2d3d465605b0e90f,False,,Existing image - metadata generated
LOCAL_36_PEXELS_10140537,PEXELS_10140537.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10140537.jpg,2026-05-26T21:10:19.392642,real,867,1300,JPEG,31.41,RGB,"{'original_filename': 'PEXELS_10140537.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10140537.jpg', 'file_size_bytes': 32161}",431e209fce768ed9fcf7ea00bb429e05,False,,Existing image - metadata generated
LOCAL_37_PEXELS_10141405,PEXELS_10141405.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10141405.jpg,2026-05-26T21:26:21.123984,real,1733,1300,JPEG,332.08,RGB,"{'original_filename': 'PEXELS_10141405.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10141405.jpg', 'file_size_bytes': 340045}",75091fce46f2f11443ebb5400dd3c44a,False,,Existing image - metadata generated
LOCAL_38_PEXELS_10146750,PEXELS_10146750.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10146750.jpg,2026-05-26T22:50:18.983602,real,585,1300,JPEG,66.17,RGB,"{'original_filename': 'PEXELS_10146750.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10146750.jpg', 'file_size_bytes': 67757}",2eb27f11817b8c0c159aa3edb3c40bc8,False,,Existing image - metadata generated
LOCAL_39_PEXELS_10147856,PEXELS_10147856.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10147856.jpg,2026-05-26T21:53:05.280622,real,867,1300,JPEG,122.29,RGB,"{'original_filename': 'PEXELS_10147856.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10147856.jpg', 'file_size_bytes': 125225}",d986ca5fcc319d41ee5c2e8a78b63127,False,,Existing image - metadata generated
LOCAL_40_PEXELS_10150864,PEXELS_10150864.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10150864.jpg,2026-05-26T23:43:48.650573,real,867,1300,JPEG,137.77,RGB,"{'original_filename': 'PEXELS_10150864.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10150864.jpg', 'file_size_bytes': 141072}",e58f6904458bf763196284d3bf7f91ea,False,,Existing image - metadata generated
LOCAL_41_PEXELS_10151042,PEXELS_10151042.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10151042.jpg,2026-05-26T21:45:28.060743,real,867,1300,JPEG,80.63,RGB,"{'original_filename': 'PEXELS_10151042.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10151042.jpg', 'file_size_bytes': 82564}",5ef39e146ef1e0fbce98de6ae79bbf58,False,,Existing image - metadata generated
LOCAL_42_PEXELS_10153713,PEXELS_10153713.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10153713.jpg,2026-05-26T21:21:02.568485,real,867,1300,JPEG,24.7,RGB,"{'original_filename': 'PEXELS_10153713.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10153713.jpg', 'file_size_bytes': 25288}",364bd62afdaf1a380ba26627c7c3fbd9,False,,Existing image - metadata generated
LOCAL_43_PEXELS_10159372,PEXELS_10159372.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10159372.jpg,2026-05-26T21:17:20.247078,real,1733,1300,JPEG,244.94,RGB,"{'original_filename': 'PEXELS_10159372.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10159372.jpg', 'file_size_bytes': 250815}",07d194c18fd518e92ac93525df174b51,False,,Existing image - metadata generated
LOCAL_44_PEXELS_10159932,PEXELS_10159932.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10159932.jpg,2026-05-26T21:20:15.320184,real,861,1300,JPEG,70.37,RGB,"{'original_filename': 'PEXELS_10159932.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10159932.jpg', 'file_size_bytes': 72059}",e6651bfa5d7188e4fe0b5e49922b3ef5,False,,Existing image - metadata generated
LOCAL_45_PEXELS_10163188,PEXELS_10163188.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10163188.jpg,2026-05-26T22:37:25.720112,real,867,1300,JPEG,206.02,RGB,"{'original_filename': 'PEXELS_10163188.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10163188.jpg', 'file_size_bytes': 210968}",4080f720b6538097a9fad541f198ee60,False,,Existing image - metadata generated
LOCAL_46_PEXELS_10165464,PEXELS_10165464.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10165464.jpg,2026-05-26T23:41:20.882421,real,1880,1255,JPEG,189.51,RGB,"{'original_filename': 'PEXELS_10165464.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10165464.jpg', 'file_size_bytes': 194057}",d78985f91e930acb7bb353bb4deb6c98,False,,Existing image - metadata generated
LOCAL_47_PEXELS_10165535,PEXELS_10165535.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10165535.jpg,2026-05-26T22:04:45.048095,real,1880,1253,JPEG,313.93,RGB,"{'original_filename': 'PEXELS_10165535.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10165535.jpg', 'file_size_bytes': 321469}",77664e38ab2563716e15085b10183f35,False,,Existing image - metadata generated
LOCAL_48_PEXELS_10165779,PEXELS_10165779.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10165779.jpg,2026-05-26T22:42:27.776453,real,868,1300,JPEG,320.04,RGB,"{'original_filename': 'PEXELS_10165779.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10165779.jpg', 'file_size_bytes': 327720}",d8668abdf788ca463d1c83ab36064778,False,,Existing image - metadata generated
LOCAL_49_PEXELS_10165782,PEXELS_10165782.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10165782.jpg,2026-05-26T22:35:39.215669,real,1880,1004,JPEG,269.87,RGB,"{'original_filename': 'PEXELS_10165782.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10165782.jpg', 'file_size_bytes': 276351}",6f4b7350e05484020018fc28c7c92c49,False,,Existing image - metadata generated
LOCAL_50_PEXELS_10166235,PEXELS_10166235.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10166235.jpg,2026-05-26T22:52:45.830647,real,867,1300,JPEG,141.55,RGB,"{'original_filename': 'PEXELS_10166235.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10166235.jpg', 'file_size_bytes': 144951}",ce084c15ab5965f4f49d31d99425aece,False,,Existing image - metadata generated
LOCAL_51_PEXELS_10167769,PEXELS_10167769.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10167769.jpg,2026-05-26T21:30:17.706849,real,867,1300,JPEG,70.09,RGB,"{'original_filename': 'PEXELS_10167769.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10167769.jpg', 'file_size_bytes': 71768}",065c9f812caaa3f00533d2cd1036f291,False,,Existing image - metadata generated
LOCAL_52_PEXELS_10171450,PEXELS_10171450.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10171450.jpg,2026-05-26T21:00:58.699375,real,867,1300,JPEG,29.33,RGB,"{'original_filename': 'PEXELS_10171450.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10171450.jpg', 'file_size_bytes': 30036}",3dd63d8f3f93c705b82a20493fba90f3,False,,Existing image - metadata generated
LOCAL_53_PEXELS_10173202,PEXELS_10173202.jpg,local_existing,C:\Users\ROWTECH\Desktop\ReSearch\ai-image-detection-research\API Info\API v3\ai_dataset_50k\real_images\PEXELS_10173202.jpg,2026-05-26T22:46:25.948689,real,867,1300,JPEG,92.38,RGB,"{'original_filename': 'PEXELS_10173202.jpg', 'file_path': 'ai_dataset_50k\\real_images\\PEXELS_10173202.jpg', 'file_size_bytes': 94594}",6cf5776151957042647d728d631cbcd7,False,,Existing image - metadata generated
